Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
138	15	0	3.45	112531.513	113990.319	112531.513	115475.596	732.027455	5882.81635	0	100	0	0	3
139	15	0	3.475	112266.65	113837.512	112266.65	115298.758	772.33717	5882.81635	0	100	0	0	3
140	16	0	3.5	112046.462	113802.824	112046.462	115298.758	807.025621	5882.81635	0	100	0	0	3
141	16	0	3.525	111914.736	113708.957	111914.736	115298.758	885.011258	5882.81635	0	100	0	0	3
142	16	0	3.55	111759.242	113559.941	111759.242	115298.758	952.184466	5882.81635	0	100	0	0	3
143	16	0	3.575	111707.924	113491.77	111707.924	115298.758	1020.35574	5882.81635	0	100	0	0	3
144	16	0	3.6	111746.237	113386.004	111707.924	115298.758	1126.12117	5882.81635	0	100	0	0	3
145	16	0	3.625	111663.445	113230.244	111663.445	115298.758	1192.9331	5882.81635	0	100	0	0	3
146	16	0	3.65	111531.428	113168.627	111531.428	115298.758	1181.13673	5882.81635	0	100	0	0	3
147	16	0	3.675	111624.773	113078.69	111531.428	115298.758	1243.11956	5882.81635	0	100	0	0	3
148	16	0	3.7	111608.924	112993.296	111531.428	115298.758	1254.47239	5882.81635	0	100	0	0	3
149	17	0	3.725	111563.266	112900.041	111531.428	115298.758	1322.52012	5882.81635	0	100	0	0	3
150	17	0	3.75	111517.323	112755.242	111517.323	115298.758	1467.31904	5882.81635	0	100	0	0	3
151	17	0	3.775	111548.826	112648.569	111517.323	115298.758	1573.9922	5882.81635	0	100	0	0	3
152	17	0	3.8	111545.502	112537.57	111517.323	115298.758	1684.99068	5882.81635	0	100	0	0	3
153	17	0	3.825	111542.69	112358.71	111517.323	115030.83	1863.85108	5882.81635	0	100	0	0	3
154	17	0	3.85	111528.724	112191.943	111517.323	114900.621	2030.61803	5882.81635	0	100	0	0	3
155	17	0	3.875	111354.337	112023.072	111354.337	114523.587	2190.35763	5882.81635	0	100	0	0	3
156	17	0	3.9	111258.327	111867.583	111258.327	113815.606	2233.74523	5882.81635	0	100	0	0	3
157	17	0	3.925	111223.496	111744.15	111223.496	113143.318	1919.82223	5882.81635	0	100	0	0	3
158	18	0	3.95	111242.79	111653.648	111223.496	112531.513	1308.0171	5882.81635	0	100	0	0	3
159	18	0	3.975	111246.233	111592.445	111223.496	112266.65	1043.15407	5882.81635	0	100	0	0	3
160	18	0	4	111301.107	111546.466	111223.496	112046.462	822.965954	5882.81635	0	100	0	0	3
